date,state,area
2016,Kelantan,635437.0
2016,Melaka,5137.0
2016,Negeri Sembilan,155650.0
2016,Pahang,1559913.0
2016,Perak,999473.0
2016,Perlis,10799.0
2016,Pulau Pinang,6060.0
2016,Sabah,3540274.0
2016,Sarawak,4317939.0
2016,Selangor,250129.0
2016,Semenanjung Malaysia,4924153.0
2016,Terengganu,544883.0
2016,Kuala Lumpur,68.0
2016,Labuan,0.0
2016,Putrajaya,0.0
2017,Johor,332749.0
2017,Kedah,341976.0
2017,Kelantan,613275.0
2017,Melaka,5138.0
2017,Negeri Sembilan,155650.0
2017,Pahang,1558898.0
2017,Perak,995216.0
2017,Perlis,10615.0
2017,Pulau Pinang,5101.0
2017,Sabah,3540749.0
2017,Sarawak,4274825.0
2017,Selangor,250129.0
2017,Semenanjung Malaysia,4811226.0
2017,Terengganu,542411.0
2017,Kuala Lumpur,68.0
2017,Labuan,0.0
2017,Putrajaya,0.0
2018,Johor,332749.0
2018,Kedah,341976.0
2018,Kelantan,613275.0
2018,Melaka,5199.0
2018,Negeri Sembilan,155549.0
2018,Pahang,1559385.0
2018,Perak,988914.0
2018,Perlis,10615.0
2018,Pulau Pinang,5101.0
2018,Sabah,3540749.0
2018,Sarawak,4209053.0
2018,Selangor,250210.0
2018,Semenanjung Malaysia,4803350.0
2018,Terengganu,540309.0
2018,Kuala Lumpur,68.0
2018,Labuan,0.0
2018,Putrajaya,0.0
2019,Johor,334292.0
2019,Kedah,341976.0
2019,Kelantan,629775.0
2019,Melaka,5199.0
2019,Negeri Sembilan,155492.0
2019,Pahang,1550687.0
2019,Perak,988591.0
2019,Perlis,10628.0
2019,Pulau Pinang,5101.0
2019,Sabah,3541266.0
2019,Sarawak,3964880.0
2019,Selangor,250208.0
2019,Semenanjung Malaysia,4812326.0
2019,Terengganu,540309.0
2019,Kuala Lumpur,68.0
2019,Labuan,0.0
2019,Putrajaya,0.0
2020,Johor,334292.0
2020,Kedah,341976.0
2020,Kelantan,629881.0
2020,Melaka,5199.0
2020,Negeri Sembilan,155143.0
2020,Pahang,1545610.0
2020,Perak,987632.0
2020,Perlis,10629.0
2020,Pulau Pinang,5387.0
2020,Sabah,3574468.0
2020,Sarawak,3964880.0
2020,Selangor,250208.0
2020,Semenanjung Malaysia,4806334.0
2020,Terengganu,540309.0
2020,Kuala Lumpur,68.0
2020,Labuan,0.0
2020,Putrajaya,0.0
2021,Johor,334502.0
2021,Kedah,341976.0
2021,Kelantan,629881.0
2021,Melaka,5199.0
2021,Negeri Sembilan,155143.0
2021,Pahang,1588298.0
2021,Perak,986848.0
2021,Perlis,10629.0
2021,Pulau Pinang,5387.0
2021,Sabah,3574468.0
2021,Sarawak,3964880.0
2021,Selangor,250208.0
2021,Semenanjung Malaysia,4848448.0
2021,Terengganu,540309.0
2021,Kuala Lumpur,68.0
2021,Labuan,0.0
2021,Putrajaya,0.0
